Year,Population_growth,Population,Urban_growth,Urban_population
1990,1.49,27791,1.55,21287
1991,1.36,28171,1.65,21641
1992,1.23,28519,1.51,21971
1993,1.09,28833,1.38,22276
1994,0.96,29111,1.25,22555
1995,0.83,29354,1.11,22808
1996,1.08,29671,1.54,23161
1997,1.06,29987,1.52,23515
1998,0.87,30247,1.32,23829
1999,0.83,30499,1.28,24137
2000,0.88,30769,1.34,24461
2001,1.01,31081,1.16,24747
2002,0.9,31362,1.05,25008
2003,1,31676,1.15,25296
2004,1,31995,1.15,25589
2005,0.99,32312,1.14,25881
2006,1.04,32649,1.16,26184
2007,1,32976,1.12,26479
2008,1.01,33311,1.14,26782
2009,1.28,33739,1.4,27160
2010,1.08,34108,1.21,27491
